Lat,Long,Negotiable,Area,NoofBedrooms,NoofBathrooms,FloorType,NoofBalconies,Age,Maint_sqft,Furnished,Facing,OnFloor,NooffloorsinBldg,Parking,PowerBackup,WaterSupply,HousePriceinK
19.23164826,72.84947627,Negotiable,350,1,1,Vitrified Tiles,1,>10 years old,0,Unfurnished,North,4,4,Bike and Car,NA,Corporation,6e3
19.08362522,72.85407018,Negotiable,950,2,2,Marble/Granite,0,>10 years old,4.2,Unfurnished,East,1,6,Bike and Car,None,Corporation,35e3
19.1532649,72.8866894,Negotiable,974,2,2,Vitrified Tiles,0,5-10 years old,4.1,Unfurnished,East,1,21,Bike and Car,Full,Corporation,9e3
18.95777389,72.83247686,Negotiable,400,1,2,Marble/Granite,3,3-5 years old,1.3,Unfurnished,East,7,22,Bike,Partial,Both,10500
19.24638829,72.86062948,Negotiable,520,2,2,Vitrified Tiles,0,>10 years old,2.9,Full,NA,3,5,Bike and Car,None,Both,1e4
19.09885216,72.91819763,Negotiable,1200,3,3,Vitrified Tiles,1,Newly Constructed,5.8,Full,North-East,9,15,Bike and Car,Full,Both,35e3
19.1386975,72.8374469,Negotiable,638,2,2,Vitrified Tiles,0,5-10 years old,7.4,Semi,North,6,18,Bike and Car,NA,Both,25e3
19.087774,72.896593,Non-negotiable,440,1,1,Vitrified Tiles,0,>10 years old,6.8,Semi,NA,3,3,Bike and Car,NA,Both,9500
19.09801865,72.9201355,Non-negotiable,3200,4,5,NA,4,3-5 years old,7.8,Semi,South-East,1,21,Bike and Car,NA,Corporation,62500
19.22260471,72.84426707,Negotiable,387,1,1,Vitrified Tiles,1,>10 years old,3.4,Unfurnished,North,3,5,Bike and Car,Full,Corporation,6200
19.16020833,72.84813435,Negotiable,890,2,2,Vitrified Tiles,0,Newly Constructed,3.9,Semi,North,3,7,Car,Full,Both,19e3
18.9967887,72.8384087,Negotiable,1125,2,3,Vitrified Tiles,2,5-10 years old,12.4,Full,NA,35,49,Car,Full,Corporation,6e4
18.98631633,72.84347943,Negotiable,200,1,1,Marble/Granite,0,>10 years old,3.8,Semi,East,2,3,None,NA,Corporation,4500
19.2139843,72.8685558,Negotiable,960,2,2,Vitrified Tiles,0,>10 years old,0,Full,NA,4,7,Bike and Car,Full,Both,16e3
19.12460755,72.92903374,Negotiable,600,1,1,Vitrified Tiles,0,>10 years old,0,Unfurnished,East,0,0,Bike,Partial,Both,8e3
19.05113584,72.8292607,Non-negotiable,285,1,1,Vitrified Tiles,0,>10 years old,5.6,Unfurnished,South,3,5,Bike,Full,Both,13e3
19.12707351,72.84682373,Negotiable,890,3,2,Vitrified Tiles,0,>10 years old,7.9,Unfurnished,NA,6,15,Bike,Partial,Corporation,21e3
19.2540479,72.8485595,Negotiable,325,1,1,Vitrified Tiles,0,>10 years old,2.8,Unfurnished,North,7,7,Bike and Car,NA,NA,5500
19.05993579,72.87882785,Negotiable,650,1,2,Vitrified Tiles,2,3-5 years old,7.7,Unfurnished,North,7,17,None,Full,Both,9500
19.169877,72.8819627,Negotiable,860,2,2,Vitrified Tiles,0,5-10 years old,3.9,Unfurnished,East,0,7,Bike and Car,Full,Corporation,10500
19.15333733,72.88558067,Negotiable,417,2,2,Vitrified Tiles,0,Under Construction,0,Unfurnished,NA,1,3,Bike and Car,NA,Corporation,5400
19.18213653,72.84659848,Non-negotiable,960,2,2,Vitrified Tiles,0,>10 years old,3.6,Semi,West,2,6,Bike and Car,None,Both,2e4
19.17585957,72.81646445,Negotiable,750,2,2,Vitrified Tiles,0,5-10 years old,3.3,Unfurnished,South,2,7,Bike and Car,Full,Corporation,9500
19.05667308,72.88947706,Negotiable,700,2,1,Vitrified Tiles,1,5-10 years old,4.3,Semi,East,5,7,Bike and Car,Full,Both,1e4
19.20022362,72.81792741,Negotiable,1260,2,3,Vitrified Tiles,0,5-10 years old,4,Full,North,8,11,None,Full,Both,19e3
19.26055238,72.85231058,Negotiable,800,2,2,Vitrified Tiles,4,3-5 years old,8,Semi,South,12,20,Bike and Car,NA,Both,25e3
19.162681,72.951278,Non-negotiable,575,1,1,Cement,0,>10 years old,2.1,Semi,East,1,4,Bike and Car,None,Corporation,1e4
19.225507,72.8339681,Negotiable,600,2,1,Cement,1,>10 years old,0.6,Semi,North,0,1,Bike,None,Corporation,6800
19.229988,72.863911,Negotiable,900,2,2,Marble/Granite,0,>10 years old,2.8,Semi,East,5,6,Bike and Car,None,Both,15e3
19.182901,72.941469,Negotiable,520,1,1,Vitrified Tiles,0,>10 years old,3.8,Semi,South,3,4,Bike and Car,NA,NA,1e4
18.96451555,72.82044755,Negotiable,600,1,2,Vitrified Tiles,0,5-10 years old,6.7,Semi,East,12,13,None,Full,Both,24e3
19.0786328,72.8500307,Negotiable,900,2,2,Vitrified Tiles,3,1-3 years old,2.8,Unfurnished,NA,6,8,Car,Full,Corporation,22500
19.20320929,72.84291543,Negotiable,570,1,1,Marble/Granite,0,>10 years old,2.8,Full,East,0,4,Bike and Car,None,Corporation,10500
18.98976243,72.83140303,Negotiable,1e3,3,2,Vitrified Tiles,1,5-10 years old,4,Full,East,12,13,Bike and Car,Partial,Both,35500
19.21482612,72.85109212,Negotiable,565,1,2,Vitrified Tiles,1,>10 years old,0.9,Unfurnished,South,0,4,Bike and Car,Full,Corporation,9300
19.17157203,72.8765812,Negotiable,415,1,1,Vitrified Tiles,1,1-3 years old,2,Semi,South,6,7,Bike and Car,Full,Both,6230
19.1154929,72.9007561,Negotiable,910,2,2,Vitrified Tiles,1,>10 years old,3.3,Semi,NA,0,22,Bike and Car,Full,Corporation,25e3
19.24507664,72.84621154,Negotiable,1e3,2,2,Vitrified Tiles,0,>10 years old,2.4,Full,West,6,7,Car,NA,Corporation,21e3
19.19780793,72.84098156,Negotiable,350,1,1,Vitrified Tiles,1,>10 years old,1.7,Semi,South,4,4,Bike and Car,Full,Both,8500
19.1916628,72.8201839,Negotiable,1200,2,2,Vitrified Tiles,2,3-5 years old,5,Full,East,12,15,Bike and Car,None,Both,12e3
19.1923248,72.8354098,Negotiable,1200,2,2,Marble/Granite,0,Under Construction,0,Unfurnished,NA,9,50,Bike and Car,NA,Corporation,23e3
19.0609099,72.8939036,Negotiable,695,2,2,Vitrified Tiles,0,Under Construction,0,Unfurnished,NA,2,12,Bike and Car,Full,Both,16600
19.0796375,72.9070116,Non-negotiable,200,1,1,Vitrified Tiles,0,5-10 years old,5,Unfurnished,NA,2,5,Bike and Car,NA,Corporation,7e3
19.21265799,72.86557306,Negotiable,385,1,1,Vitrified Tiles,0,>10 years old,3.6,Unfurnished,South,5,6,None,None,Both,6e3
19.0672533,72.89341295,Non-negotiable,1015,2,2,Vitrified Tiles,0,>10 years old,2,Semi,East,0,3,Bike,None,Corporation,16500
19.22820282,72.8521347,Negotiable,1050,3,3,Vitrified Tiles,0,Newly Constructed,3.8,Semi,East,2,7,Bike and Car,Full,Both,27500
19.203599,72.8572229,Negotiable,1100,2,2,Marble/Granite,0,5-10 years old,7.3,Semi,North,0,30,Car,Full,Corporation,23e3
19.20869564,72.82047248,Negotiable,565,1,1,Vitrified Tiles,0,>10 years old,3.5,Semi,East,1,7,Car,Full,Corporation,8e3
19.22639319,72.82781323,Negotiable,3240,3,4,Cement,2,>10 years old,0,Semi,East,0,2,Bike and Car,Full,Corporation,4e4
19.11527804,72.83039551,Negotiable,565,1,2,Vitrified Tiles,0,>10 years old,2.7,Semi,East,1,4,Bike and Car,None,Both,18e3
19.07332646,72.84408665,Non-negotiable,375,1,1,Vitrified Tiles,1,5-10 years old,1.9,Unfurnished,South,5,7,Bike and Car,Full,Corporation,4500
19.19398335,72.82620522,Negotiable,725,1,2,Vitrified Tiles,2,3-5 years old,4.1,Semi,South,8,20,Bike and Car,None,Corporation,9500
19.00558702,72.8387926,Negotiable,200,1,1,Vitrified Tiles,0,>10 years old,10,Unfurnished,NA,4,4,Bike and Car,None,Both,7500
19.20205791,72.8449213,Non-negotiable,325,1,1,Vitrified Tiles,0,5-10 years old,3.1,Semi,NA,0,4,Bike and Car,None,Corporation,8300
19.25328326,72.86226773,Non-negotiable,530,1,1,Cement,0,>10 years old,1.8,Full,West,2,3,Bike and Car,Full,Both,8200
19.1773437,72.8707941,Negotiable,1180,3,3,Vitrified Tiles,0,>10 years old,5.9,Unfurnished,West,2,20,Bike and Car,NA,Corporation,18e3
19.2210407,72.8642718,Negotiable,835,2,2,Vitrified Tiles,4,>10 years old,4.2,Unfurnished,NA,1,7,Bike and Car,Full,Corporation,17e3
19.12205027,72.87976198,Negotiable,365,1,2,Vitrified Tiles,0,Newly Constructed,2.2,Unfurnished,South,2,3,Bike and Car,None,Both,9500
19.07644924,72.86737512,Negotiable,600,1,2,Vitrified Tiles,0,1-3 years old,5,Unfurnished,NA,2,10,Bike and Car,NA,Both,13999.994
19.2090626,72.87581771,Non-negotiable,650,1,2,Vitrified Tiles,0,5-10 years old,5.4,Semi,East,5,8,None,None,Both,8500
