Unique ID,PostedTime,Lat,Long,SaleType,HouseType,Address,Verified,LoanVerified,Price,Negotiable,Area,Measure,MonthlyEMI,Bedrooms,Bathrooms,FloorType,Balconies,ShortAddress,Bldgtype,Age,OwnedBy,Maintanance,FloorType2,Area2,Furnished,Facing,FloorOn,Parking,PowerBackup,WaterSupply,propid,
5758,NA,19.01494398,72.83729125,Resale,"2 BHK for sale,
Sai Sharada CHS","Sai Sharada Chs, Dr. Bhavani Shankar Road, Near Shardas ...",Pre-verified,Loan Verified,2.25 Crores,Negotiable,510,Sq.Ft,1.75 Lacs/Month,Estimated EMI,Marble/Granite,Marble/Granite,Immediately,Sai Sharada CHS,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff808181623db59d01623e3751a74b2a,
5759,NA,19.127791,72.86713478,Resale,"1 BHK for sale,
Takshila CHS","Takshila Chs, Mahakali Caves Road, Near Holy Spirit Hos ...",Pre-verified,Loan Verified,1.25 Crores,Non-negotiable,435,Sq.Ft,97.17 K/Month,Estimated EMI,Mosaic,Mosaic,Immediately,Takshila CHS,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff808181623db59d01623df145301eed,
5760,NA,18.99778184,72.85256057,Resale,"1 RK for sale,
Ashirwad co op housing s","Ashirwad Co Op Housing Society, Near Sewri Bus Depot, A ...",Pre-verified,Loan Verified,60 Lacs,Negotiable,180,Sq.Ft,46.64 K/Month,Estimated EMI,Cement,Cement,Immediately,Ashirwad co op hous,Apartment,Age of the Building,Ownership Type,Maintenance Charges,Flooring,Builtup Area,Furnishing Status,Facing,Floor,Flats in Building,Power backup,Water Supply,ff808181624e8efe01624effaaf51c2a,
5761,"Mar 19, 2018 10:58:00 PM",19.1163337,72.8345468,Resale,"2 BHK for sale,
Veejays Niwas","Veejays Niwas, Cd Barfiwala Road, Near Sujay Hospital",Pre-verified,Loan Verified,4.5 Crores,Negotiable,850,Sq.Ft,3.5 Lacs/Month,2 bedrooms,2 Baths,Wooden,2 Balconies,Veejays Niwas,Apartment,5-10 years old,Self Owned,11.8 per sq.ft/m,Wooden,850 sq.ft,Semi,East,Floor 5 / 11,Car,NA,Corporation,ff808181622a1f2d01622ce43fe54113,
5762,"Mar 19, 2018 10:02:48 PM",19.09411724,72.92224199,Resale,"1 BHK for sale,
Godrej Trees - Origin","Godrej Trees - Origin, Pirojshanagar, Near Ginger Hotel ...",Pre-verified,Loan Verified,1.5 Crores,Negotiable,505,Sq.Ft,1.17 Lacs/Month,1 bedrooms,1 Bath,Vitrified Tiles,0 Balconies,Godrej Trees - Orig,Apartment,Under Construction,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,505 sq.ft,Full,West,Floor 1 / 17,Car,NA,Corporation,ff80818161f4c5800161f9d967407596,
5763,"Mar 19, 2018 9:52:38 PM",19.2019317,72.8193031,Resale,"3 BHK for sale,
Bhoomi Park Phase 2","Bhoomi Park Phase 2, Malad West, Mumbai",Pre-verified,Loan Verified,1.75 Crores,Negotiable,"1,200",Sq.Ft,1.36 Lacs/Month,3 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Bhoomi Park Phase 2,Apartment,5-10 years old,Self Owned,4.6 per sq.ft/m,Vitrified Tiles,"1,200 sq.ft",Semi,East,Floor 1 / 13,Car,NA,Both,ff8081815a473e4e015a4a6a1ef506a1,
5764,"Mar 19, 2018 8:01:45 PM",18.96424496,72.80455883,Resale,"1 BHK for sale,
New Miramar","New Miramar, August Kranti Marg Near St. Stephen Church",Pre-verified,Loan Verified,3.69 Crores,Negotiable,488,Sq.Ft,2.87 Lacs/Month,1 bedrooms,2 Baths,Marble/Granite,0 Balconies,New Miramar,Apartment,>10 years old,Self Owned,5.3 per sq.ft/m,Marble/Granite,488 sq.ft,Semi,NA,Floor 8 / 10,Car,NA,Corporation,ff808181623db59d01623dceff260a59,
5765,"Mar 22, 2018 6:37:22 PM",19.09036819,72.88686484,Resale,"1 RK for sale,
New munshi chwal","New Munshi Chwal, Kaju Pada, Near Ganesh Mandir",Pre-verified,Loan Verified,25 Lacs,Non-negotiable,400,Sq.Ft,19.43 K/Month,1 bedrooms,1 Bath,Cement,2 Balconies,New munshi chwal,Apartment,>10 years old,Self Owned,0.4 per sq.ft/m,Cement,400 sq.ft,Full,East,Floor 0 / 1,None,Full,Corporation,ff808181624c02bb01624c75fdda39f4,
5766,"Mar 19, 2018 6:09:09 PM",19.18447733,72.84645373,Resale,"2 BHK for sale,
Rolex Apartment","Rolex Apartment, Off S.v. Road Behind Shree Swaminaraya ...",Pre-verified,Loan Verified,1.1 Crores,Negotiable,520,Sq.Ft,85.5 K/Month,2 bedrooms,1 Bath,Marble/Granite,1 Balcony,Rolex Apartment,Apartment,>10 years old,Self Owned,3.5 per sq.ft/m,Marble/Granite,520 sq.ft,Semi,North,Floor 4 / 7,Bike and Car,NA,Both,ff808181622f109201623042c32c3991,
5767,"Mar 19, 2018 5:43:22 PM",19.1608415,72.94719999,Resale,"1 BHK for sale,
Hiramoti Apartment","Hiramoti Apartment, Gurukrupa Nagar, Near Hotel Satkar ...",Pre-verified,Loan Verified,1.15 Crores,Non-negotiable,540,Sq.Ft,89.39 K/Month,1 bedrooms,1 Bath,Marble/Granite,0 Balconies,Hiramoti Apartment,Apartment,>10 years old,Self Owned,1.9 per sq.ft/m,Marble/Granite,540 sq.ft,Semi,NA,Floor 0 / 3,Bike and Car,NA,Corporation,ff80818162395c4d01623d0a060f248e,
5768,"Mar 19, 2018 5:41:57 PM",19.2531204,72.84875628,Resale,"3 BHK for sale,
Ekta Philip Tower","Ekta Philip Tower, Holy Cross Rd Near Banjara Dhaba",Pre-verified,Loan Verified,2.5 Crores,Non-negotiable,"1,135",Sq.Ft,1.94 Lacs/Month,3 bedrooms,3 Baths,Marble/Granite,0 Balconies,Ekta Philip Tower,Apartment,>10 years old,Self Owned,2.2 per sq.ft/m,Marble/Granite,"1,135 sq.ft",Semi,South-East,Floor 7 / 7,Bike and Car,NA,Corporation,ff80818162395c4d01623d0fc5642809,
5769,"Mar 19, 2018 5:40:44 PM",19.05324132,72.91194314,Resale,"1 BHK for sale,
Good Relations CHS","Good Relations Chs, Shivneri Nagar, Near Swaraj Kalash",Pre-verified,Loan Verified,1.35 Crores,Negotiable,700,Sq.Ft,1.05 Lacs/Month,1 bedrooms,2 Baths,Vitrified Tiles,0 Balconies,Good Relations CHS,Apartment,>10 years old,Self Owned,3.2 per sq.ft/m,Vitrified Tiles,700 sq.ft,Semi,South-East,Floor 3 / 7,Bike and Car,NA,Corporation,ff8081816193aed10161944d28f95085,
5770,"Mar 19, 2018 5:40:16 PM",19.14136214,72.83089259,Resale,"2 BHK for sale,
Shivshakti Tower","Shivshakti Tower, Shastri Nagar, Near Infiniti Mall",Pre-verified,Loan Verified,3.85 Crores,Negotiable,"1,200",Sq.Ft,2.99 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,2 Balconies,Shivshakti Tower,Apartment,5-10 years old,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,"1,200 sq.ft",Full,East,Floor 4 / 28,Bike and Car,NA,Both,ff8081815d8f1388015d922ca7bc7114,
5771,"Mar 19, 2018 5:16:20 PM",19.1157424,72.9056018,Resale,"2 BHK for sale,
Panchvati B Wing","Panchvati B Wing, Mhada Colony, Panch Srishti Complex, ...",Pre-verified,Loan Verified,1.75 Crores,Non-negotiable,"1,025",Sq.Ft,1.36 Lacs/Month,2 bedrooms,2 Baths,Marble/Granite,4 Balconies,Panchvati B Wing,Apartment,5-10 years old,Self Owned,5.9 per sq.ft/m,Marble/Granite,"1,025 sq.ft",Semi,North,Floor 13 / 15,Car,NA,Both,ff80818162395c4d01623d48bd654683,
5772,"Mar 19, 2018 4:56:21 PM",19.1552061,72.8428554,Resale,"2 BHK for sale,
EKTA Tripolis","Ekta Tripolis, Junction Of Roads No. 2",Pre-verified,Loan Verified,2.3 Crores,Negotiable,"1,088",Sq.Ft,1.79 Lacs/Month,2 bedrooms,2 Baths,Vitrified Tiles,1 Balcony,EKTA Tripolis,Apartment,Under Construction,Self Owned,0.0 per sq.ft/m,Vitrified Tiles,"1,088 sq.ft",Unfurnished,South-East,Floor 8 / 36,Bike and Car,NA,Corporation,ff808181622f109201623255737069d3,
5773,"Mar 19, 2018 3:56:15 PM",19.22648045,72.84187741,Resale,"1 BHK for sale,
Bhushan Enclave CHS","Bhushan Enclave Chs, Vazira,near Link View Fine Dine",Pre-verified,Loan Verified,1.05 Crores,Negotiable,660,Sq.Ft,81.62 K/Month,1 bedrooms,2 Baths,Vitrified Tiles,2 Balconies,Bhushan Enclave CHS,Apartment,5-10 years old,Self Owned,4.5 per sq.ft/m,Vitrified Tiles,660 sq.ft,Full,South-West,Floor 6 / 7,Bike and Car,NA,Corporation,ff808181622f1092016232c78e7434ec,
5774,"Mar 19, 2018 3:16:11 PM",18.97619722,72.83164919,Resale,"1 RK for sale,
Stone Building","Stone Building, N.m. Joshi Cross Rd, Near Byculla West ...",Pre-verified,Loan Verified,65 Lacs,Negotiable,300,Sq.Ft,50.53 K/Month,1 bedrooms,1 Bath,Mosaic,2 Balconies,Stone Building,Apartment,>10 years old,Self Owned,0.0 per sq.ft/m,Mosaic,300 sq.ft,Unfurnished,East,Floor 1 / 3,None,Full,Corporation,ff8081815394495e01539926d5fb3bf4,
5775,"Mar 19, 2018 2:51:10 PM",19.08811458,72.90397426,Resale,"1 RK for sale,
Kahan Jash Residency","Kahan Jash Residency, Old Maneklal Estate, Near Mtnl Office",Pre-verified,Loan Verified,71 Lacs,Negotiable,300,Sq.Ft,55.19 K/Month,1 bedrooms,1 Bath,Vitrified Tiles,2 Balconies,Kahan Jash Residenc,Apartment,5-10 years old,Self Owned,2.3 per sq.ft/m,Vitrified Tiles,300 sq.ft,Semi,North-East,Floor 6 / 7,Bike and Car,NA,Both,ff8081816239606e01623c70e9194a6c,
